anio,semana,chart_date,country_code,banda,label_group,pct_streams
2021,5,2021-02-04,CO,50,INgrooves,0.04812699
2021,5,2021-02-04,CO,50,Virgin,0.0
2021,5,2021-02-04,CO,50,Sony,0.44070677
2021,5,2021-02-04,CO,50,Orchard,0.11215617
2021,5,2021-02-04,CO,50,Warner,0.05883635
2021,5,2021-02-04,CO,50,Indies,0.02088198
2021,5,2021-02-04,CO,100,Universal,0.30995183
2021,5,2021-02-04,CO,100,INgrooves,0.05262567
2021,5,2021-02-04,CO,100,Virgin,0.0
2021,5,2021-02-04,CO,100,Sony,0.402388
2021,5,2021-02-04,CO,100,Orchard,0.13279626
2021,5,2021-02-04,CO,100,Warner,0.07110322
2021,5,2021-02-04,CO,100,Indies,0.03113502
2021,5,2021-02-04,CO,200,Universal,0.30396301
2021,5,2021-02-04,CO,200,INgrooves,0.04933418
2021,5,2021-02-04,CO,200,Virgin,0.00240272
2021,5,2021-02-04,CO,200,Sony,0.36841286
2021,5,2021-02-04,CO,200,Orchard,0.13793558
2021,5,2021-02-04,CO,200,Warner,0.10068949
2021,5,2021-02-04,CO,200,Indies,0.03726216
2021,6,2021-02-11,CO,10,Universal,0.26962744
2021,6,2021-02-11,CO,10,INgrooves,0.0
2021,6,2021-02-11,CO,10,Virgin,0.0
2021,6,2021-02-11,CO,10,Sony,0.55926252
2021,6,2021-02-11,CO,10,Orchard,0.17111004
2021,6,2021-02-11,CO,10,Warner,0.0
2021,6,2021-02-11,CO,10,Indies,0.0
2021,6,2021-02-11,CO,20,Universal,0.2839476
2021,6,2021-02-11,CO,20,INgrooves,0.03570919
2021,6,2021-02-11,CO,20,Virgin,0.0
2021,6,2021-02-11,CO,20,Sony,0.53753369
2021,6,2021-02-11,CO,20,Orchard,0.10541401
2021,6,2021-02-11,CO,20,Warner,0.0
2021,6,2021-02-11,CO,20,Indies,0.03739551
2021,6,2021-02-11,CO,50,Universal,0.33357795
2021,6,2021-02-11,CO,50,INgrooves,0.04796108
2021,6,2021-02-11,CO,50,Virgin,0.0
2021,6,2021-02-11,CO,50,Sony,0.43248595
2021,6,2021-02-11,CO,50,Orchard,0.10668153
2021,6,2021-02-11,CO,50,Warner,0.05860227
2021,6,2021-02-11,CO,50,Indies,0.02069122
2021,6,2021-02-11,CO,100,Universal,0.31698307
2021,6,2021-02-11,CO,100,INgrooves,0.05784938
2021,6,2021-02-11,CO,100,Virgin,0.0
2021,6,2021-02-11,CO,100,Sony,0.38710391
2021,6,2021-02-11,CO,100,Orchard,0.13308266
2021,6,2021-02-11,CO,100,Warner,0.07389372
2021,6,2021-02-11,CO,100,Indies,0.03108725
2021,6,2021-02-11,CO,200,Universal,0.31751513
2021,6,2021-02-11,CO,200,INgrooves,0.05292526
2021,6,2021-02-11,CO,200,Virgin,0.00242428
2021,6,2021-02-11,CO,200,Sony,0.35354975
2021,6,2021-02-11,CO,200,Orchard,0.13416236
2021,6,2021-02-11,CO,200,Warner,0.09982437
2021,6,2021-02-11,CO,200,Indies,0.03959885
2021,7,2021-02-18,CO,10,Universal,0.26544843
2021,7,2021-02-18,CO,10,INgrooves,0.0
2021,7,2021-02-18,CO,10,Virgin,0.0
2021,7,2021-02-18,CO,10,Sony,0.55847599
2021,7,2021-02-18,CO,10,Orchard,0.17607557
2021,7,2021-02-18,CO,10,Warner,0.0
2021,7,2021-02-18,CO,10,Indies,0.0
2021,7,2021-02-18,CO,20,Universal,0.32474761
2021,7,2021-02-18,CO,20,INgrooves,0.03490968
2021,7,2021-02-18,CO,20,Virgin,0.0
2021,7,2021-02-18,CO,20,Sony,0.49433299
2021,7,2021-02-18,CO,20,Orchard,0.10853355
2021,7,2021-02-18,CO,20,Warner,0.0
2021,7,2021-02-18,CO,20,Indies,0.03747618
2021,7,2021-02-18,CO,50,Universal,0.35218815
2021,7,2021-02-18,CO,50,INgrooves,0.05881899
2021,7,2021-02-18,CO,50,Virgin,0.0
2021,7,2021-02-18,CO,50,Sony,0.41739765
2021,7,2021-02-18,CO,50,Orchard,0.0921491
2021,7,2021-02-18,CO,50,Warner,0.05872563
2021,7,2021-02-18,CO,50,Indies,0.02072047
2021,7,2021-02-18,CO,100,Universal,0.32646048
2021,7,2021-02-18,CO,100,INgrooves,0.05492061
2021,7,2021-02-18,CO,100,Virgin,0.0
2021,7,2021-02-18,CO,100,Sony,0.37761955
2021,7,2021-02-18,CO,100,Orchard,0.13179954
2021,7,2021-02-18,CO,100,Warner,0.0784017
2021,7,2021-02-18,CO,100,Indies,0.03079813
2021,7,2021-02-18,CO,200,Universal,0.33156736
2021,7,2021-02-18,CO,200,INgrooves,0.05346684
2021,7,2021-02-18,CO,200,Virgin,0.00234821
2021,7,2021-02-18,CO,200,Sony,0.34814133
2021,7,2021-02-18,CO,200,Orchard,0.12989133
2021,7,2021-02-18,CO,200,Warner,0.10009494
2021,7,2021-02-18,CO,200,Indies,0.03448998
2021,8,2021-02-25,CO,10,Universal,0.34099951
2021,8,2021-02-25,CO,10,INgrooves,0.0
2021,8,2021-02-25,CO,10,Virgin,0.0
2021,8,2021-02-25,CO,10,Sony,0.47588017
2021,8,2021-02-25,CO,10,Orchard,0.18312031
2021,8,2021-02-25,CO,10,Warner,0.0
2021,8,2021-02-25,CO,10,Indies,0.0
2021,8,2021-02-25,CO,20,Universal,0.3277074
2021,8,2021-02-25,CO,20,INgrooves,0.03638634
2021,8,2021-02-25,CO,20,Virgin,0.0
2021,8,2021-02-25,CO,20,Sony,0.48466987
2021,8,2021-02-25,CO,20,Orchard,0.11311698
2021,8,2021-02-25,CO,20,Warner,0.0
2021,8,2021-02-25,CO,20,Indies,0.03811941
2021,8,2021-02-25,CO,50,Universal,0.35193552
2021,8,2021-02-25,CO,50,INgrooves,0.05296088
2021,8,2021-02-25,CO,50,Virgin,0.0
2021,8,2021-02-25,CO,50,Sony,0.41813852
2021,8,2021-02-25,CO,50,Orchard,0.10866337
2021,8,2021-02-25,CO,50,Warner,0.04724923
2021,8,2021-02-25,CO,50,Indies,0.02105248
2021,8,2021-02-25,CO,100,Universal,0.33111887
2021,8,2021-02-25,CO,100,INgrooves,0.05827933
2021,8,2021-02-25,CO,100,Virgin,0.0
2021,8,2021-02-25,CO,100,Sony,0.37930469
2021,8,2021-02-25,CO,100,Orchard,0.12790441
2021,8,2021-02-25,CO,100,Warner,0.07220533
2021,8,2021-02-25,CO,100,Indies,0.03118737
2021,8,2021-02-25,CO,200,Universal,0.32913639
2021,8,2021-02-25,CO,200,INgrooves,0.05615531
2021,8,2021-02-25,CO,200,Virgin,0.0
2021,8,2021-02-25,CO,200,Sony,0.35078354
2021,8,2021-02-25,CO,200,Orchard,0.12473751
2021,8,2021-02-25,CO,200,Warner,0.10188062
2021,8,2021-02-25,CO,200,Indies,0.03730663
2021,9,2021-03-04,CO,10,Universal,0.33997722
2021,9,2021-03-04,CO,10,INgrooves,0.0
2021,9,2021-03-04,CO,10,Virgin,0.0
2021,9,2021-03-04,CO,10,Sony,0.47370124
2021,9,2021-03-04,CO,10,Orchard,0.18632153
2021,9,2021-03-04,CO,10,Warner,0.0
2021,9,2021-03-04,CO,10,Indies,0.0
2021,9,2021-03-04,CO,20,Universal,0.33197843
2021,9,2021-03-04,CO,20,INgrooves,0.07048416
2021,9,2021-03-04,CO,20,Virgin,0.0
2021,9,2021-03-04,CO,20,Sony,0.44679663
2021,9,2021-03-04,CO,20,Orchard,0.11336533
2021,9,2021-03-04,CO,20,Warner,0.0
2021,9,2021-03-04,CO,20,Indies,0.03737545
2021,9,2021-03-04,CO,50,Universal,0.34143023
2021,9,2021-03-04,CO,50,INgrooves,0.05597407
2021,9,2021-03-04,CO,50,Virgin,0.0
2021,9,2021-03-04,CO,50,Sony,0.42635921
2021,9,2021-03-04,CO,50,Orchard,0.10984812
2021,9,2021-03-04,CO,50,Warner,0.04592036
2021,9,2021-03-04,CO,50,Indies,0.02046802
2021,9,2021-03-04,CO,100,Universal,0.32020136
2021,9,2021-03-04,CO,100,INgrooves,0.05776899
2021,9,2021-03-04,CO,100,Virgin,0.0
2021,9,2021-03-04,CO,100,Sony,0.39141245
2021,9,2021-03-04,CO,100,Orchard,0.12821236
2021,9,2021-03-04,CO,100,Warner,0.06653349
2021,9,2021-03-04,CO,100,Indies,0.03587136
2021,9,2021-03-04,CO,200,Universal,0.32299804
2021,9,2021-03-04,CO,200,INgrooves,0.05559112
2021,9,2021-03-04,CO,200,Virgin,0.0
2021,9,2021-03-04,CO,200,Sony,0.35912577
2021,9,2021-03-04,CO,200,Orchard,0.12239082
2021,9,2021-03-04,CO,200,Warner,0.10397727
2021,9,2021-03-04,CO,200,Indies,0.03591699
2021,10,2021-03-11,CO,10,Universal,0.34936769
2021,10,2021-03-11,CO,10,INgrooves,0.0
2021,10,2021-03-11,CO,10,Virgin,0.0
2021,10,2021-03-11,CO,10,Sony,0.47151221
2021,10,2021-03-11,CO,10,Orchard,0.1791201
2021,10,2021-03-11,CO,10,Warner,0.0
2021,10,2021-03-11,CO,10,Indies,0.0
2021,10,2021-03-11,CO,20,Universal,0.2958426
2021,10,2021-03-11,CO,20,INgrooves,0.03794278
2021,10,2021-03-11,CO,20,Virgin,0.0
2021,10,2021-03-11,CO,20,Sony,0.49000245
2021,10,2021-03-11,CO,20,Orchard,0.14152035
2021,10,2021-03-11,CO,20,Warner,0.0
2021,10,2021-03-11,CO,20,Indies,0.03469182
2021,10,2021-03-11,CO,50,Universal,0.31072411
2021,10,2021-03-11,CO,50,INgrooves,0.05652846
2021,10,2021-03-11,CO,50,Virgin,0.0
2021,10,2021-03-11,CO,50,Sony,0.46477512
