anio,semana,mes,country_code,banda,conteo_universal
2019,5,ENERO,SP,50,21
2019,5,ENERO,SP,100,48
2019,5,ENERO,SP,200,83
2019,5,ENERO,CL,10,2
2019,5,ENERO,CL,30,10
2019,5,ENERO,CL,50,13
2019,5,ENERO,CL,100,27
2019,5,ENERO,CL,200,54
2019,5,ENERO,AR,10,4
2019,5,ENERO,AR,30,11
2019,5,ENERO,AR,50,17
2019,5,ENERO,AR,100,27
2019,5,ENERO,AR,200,53
2019,5,ENERO,BR,10,4
2019,5,ENERO,BR,30,6
2019,5,ENERO,BR,50,12
2019,5,ENERO,BR,100,23
2019,5,ENERO,BR,200,45
2019,5,ENERO,PT,10,5
2019,5,ENERO,PT,30,12
2019,5,ENERO,PT,50,21
2019,5,ENERO,PT,100,32
2019,5,ENERO,PT,200,72
2019,6,FEBRERO,CO,10,2
2019,6,FEBRERO,CO,30,11
2019,6,FEBRERO,CO,50,17
2019,6,FEBRERO,CO,100,38
2019,6,FEBRERO,CO,200,69
2019,6,FEBRERO,PE,10,3
2019,6,FEBRERO,PE,30,11
2019,6,FEBRERO,PE,50,18
2019,6,FEBRERO,PE,100,30
2019,6,FEBRERO,PE,200,62
2019,6,FEBRERO,EC,10,3
2019,6,FEBRERO,EC,30,13
2019,6,FEBRERO,EC,50,14
2019,6,FEBRERO,EC,100,39
2019,6,FEBRERO,EC,200,67
2019,6,FEBRERO,PN,10,2
2019,6,FEBRERO,PN,30,10
2019,6,FEBRERO,PN,50,19
2019,6,FEBRERO,PN,100,32
2019,6,FEBRERO,PN,200,56
2019,6,FEBRERO,CR,10,2
2019,6,FEBRERO,CR,30,13
2019,6,FEBRERO,CR,50,22
2019,6,FEBRERO,CR,100,42
2019,6,FEBRERO,CR,200,76
2019,6,FEBRERO,GT,10,2
2019,6,FEBRERO,GT,30,13
2019,6,FEBRERO,GT,50,21
2019,6,FEBRERO,GT,100,39
2019,6,FEBRERO,GT,200,68
2019,6,FEBRERO,SV,10,2
2019,6,FEBRERO,SV,30,14
2019,6,FEBRERO,SV,50,21
2019,6,FEBRERO,SV,100,36
2019,6,FEBRERO,SV,200,71
2019,6,FEBRERO,HN,10,2
