anio,semana,country_code,label_group,streams_top200,chart_date
2025,23,CO,INgrooves,3.226409,2025-06-05
2025,23,CO,Virgin,3.73046,2025-06-05
2025,23,CO,Sony,30.36526,2025-06-05
2025,23,CO,Orchard,13.249948,2025-06-05
2025,23,CO,Warner,29.1644036,2025-06-05
2025,23,CO,Indies,12.172711,2025-06-05
2025,24,CO,Universal,15.5447864,2025-06-12
2025,24,CO,INgrooves,4.125294,2025-06-12
2025,24,CO,Virgin,2.871746,2025-06-12
2025,24,CO,Sony,31.392523,2025-06-12
2025,24,CO,Orchard,11.537743,2025-06-12
2025,24,CO,Warner,28.6230206,2025-06-12
2025,24,CO,Indies,12.426189,2025-06-12
2026,1,CO,Universal,11.0489095,2026-01-01
2026,1,CO,INgrooves,2.257234,2026-01-01
2026,1,CO,Virgin,2.060348,2026-01-01
2026,1,CO,Sony,28.1946815,2026-01-01
2026,1,CO,Orchard,10.438778,2026-01-01
2026,1,CO,Warner,19.836512,2026-01-01
2026,1,CO,Indies,33.3976,2026-01-01
2026,2,CO,Universal,11.519265,2026-01-08
2026,2,CO,INgrooves,1.956245,2026-01-08
2026,2,CO,Virgin,2.052136,2026-01-08
2026,2,CO,Sony,26.213197,2026-01-08
2026,2,CO,Orchard,11.014265,2026-01-08
2026,2,CO,Warner,20.188588,2026-01-08
2026,2,CO,Indies,18.316363,2026-01-08
2026,3,CO,Universal,9.6618435,2026-01-15
2026,3,CO,INgrooves,2.234756,2026-01-15
2026,3,CO,Virgin,3.215709,2026-01-15
2026,3,CO,Sony,28.5364585,2026-01-15
2026,3,CO,Orchard,9.939025,2026-01-15
2026,3,CO,Warner,27.418596,2026-01-15
2026,3,CO,Indies,29.432171,2026-01-15
2026,4,CO,Universal,9.4230875,2026-01-22
2026,4,CO,INgrooves,2.218792,2026-01-22
2026,4,CO,Virgin,3.650725,2026-01-22
2026,4,CO,Sony,27.4552025,2026-01-22
2026,4,CO,Orchard,11.892234,2026-01-22
2026,4,CO,Warner,29.885222,2026-01-22
2026,4,CO,Indies,29.193873,2026-01-22
2026,5,CO,Universal,10.9069175,2026-01-29
2026,5,CO,INgrooves,2.241317,2026-01-29
2026,5,CO,Virgin,3.036092,2026-01-29
2026,5,CO,Sony,27.2523305,2026-01-29
2026,5,CO,Orchard,16.889097,2026-01-29
2026,5,CO,Warner,28.630455,2026-01-29
2026,5,CO,Indies,25.224928,2026-01-29
2026,6,CO,Universal,10.475473,2026-02-05
2026,6,CO,INgrooves,2.139098,2026-02-05
2026,6,CO,Virgin,3.213959,2026-02-05
2026,6,CO,Sony,26.342221,2026-02-05
2026,6,CO,Orchard,14.99461,2026-02-05
2026,6,CO,Warner,30.052679,2026-02-05
2026,6,CO,Indies,25.893008,2026-02-05
2026,7,CO,Universal,12.5068305,2026-02-12
2026,7,CO,INgrooves,2.613508,2026-02-12
2026,7,CO,Virgin,2.854708,2026-02-12
