anio,semana,country_code,banda,label_group,tracks,streams_millones,pct_streams
2020,3,CO,100,Sony,21.0,4.355602955390399,0.18728322786828955
2020,3,CO,100,The Orchard,5.0,2.0302970002395004,0.08729918214092074
2020,3,CO,100,Warner,14.0,2.9636620000000002,0.12743222726113734
2020,3,CO,100,Independientes,10.0,2.3185879999999948,0.09969518553092263
2020,3,CO,200,Universal,66.0,10.167684044370102,0.3267604822453959
2020,3,CO,200,Ingrooves,20.0,4.1985969999999995,0.13493098079043084
2020,3,CO,200,Sony,53.0,6.891723955390401,0.22148043087672725
2020,3,CO,200,The Orchard,12.0,2.6239270002395005,0.08432556010134074
2020,3,CO,200,Warner,27.0,3.9802280000000003,0.12791322144267123
2020,3,CO,200,Independientes,22.0,3.2544669999999805,0.10458932454343403
2020,3,CO,1000,Universal,319.0,19.45741131508959,0.3210145348700433
2020,3,CO,1000,Ingrooves,27.0,4.517881999999999,0.07453744824230554
2020,3,CO,1000,Sony,317.0,16.745580955390402,0.2762738986431584
2020,3,CO,1000,The Orchard,41.0,3.797523729520001,0.06265274932767705
